wp_post_id,title,status,slug,folder,file,date,original_url,categories,tags
1416,Are Cash Gifts to Employees Taxable in Canada,publish,are-cash-gifts-to-employees-taxable-in-canada,posts/are-cash-gifts-to-employees-taxable-in-canada,posts/are-cash-gifts-to-employees-taxable-in-canada/index.md,2023-09-06T08:22:35+00:00,https://ledgerlogic.ca/2023/09/06/are-cash-gifts-to-employees-taxable-in-canada/,corporate-tax;payroll;personal-tax,
1418,Can You Get EI If You Are Self-Employed? Understanding Your Eligibility,publish,can-you-get-ei-if-you-are-self-employed,posts/can-you-get-ei-if-you-are-self-employed,posts/can-you-get-ei-if-you-are-self-employed/index.md,2023-09-21T14:08:08+00:00,https://ledgerlogic.ca/2023/09/21/can-you-get-ei-if-you-are-self-employed/,cra;payroll;personal-tax,
1419,When and How Do I Register for GST: A Step-by-Step Guide,publish,when-and-how-do-i-register-for-gst,posts/when-and-how-do-i-register-for-gst,posts/when-and-how-do-i-register-for-gst/index.md,2023-09-24T15:37:10+00:00,https://ledgerlogic.ca/2023/09/24/when-and-how-do-i-register-for-gst/,corporate-tax;cra;sales-tax,
1420,How Does Income Splitting Work in Canada: Tax Reduction Strategies,publish,how-does-income-splitting-work-in-canada,posts/how-does-income-splitting-work-in-canada,posts/how-does-income-splitting-work-in-canada/index.md,2023-09-28T15:35:19+00:00,https://ledgerlogic.ca/2023/09/28/how-does-income-splitting-work-in-canada/,corporate-tax;cra;personal-tax,
1422,Employee vs Contractor: Understanding the Key Differences,publish,employee-vs-contactor,posts/employee-vs-contactor,posts/employee-vs-contactor/index.md,2023-09-30T12:24:27+00:00,https://ledgerlogic.ca/2023/09/30/employee-vs-contactor/,corporate-tax;cra;payroll;personal-tax,
1424,Quebec Small Business Tax Rate: Understanding Your Fiscal Obligations,publish,quebec-small-business-tax-rate,posts/quebec-small-business-tax-rate,posts/quebec-small-business-tax-rate/index.md,2023-10-01T10:15:31+00:00,https://ledgerlogic.ca/2023/10/01/quebec-small-business-tax-rate/,corporate-tax,
1425,Self-Employed Home Office Tax Deduction Canada: A Concise Guide,publish,self-employed-home-office-tax-deduction-canada,posts/self-employed-home-office-tax-deduction-canada,posts/self-employed-home-office-tax-deduction-canada/index.md,2023-10-03T07:33:12+00:00,https://ledgerlogic.ca/2023/10/03/self-employed-home-office-tax-deduction-canada/,cra;personal-tax,
1426,Chances of Getting Audited by CRA: Key Factors and Statistics,publish,chances-of-getting-audited-by-cra,posts/chances-of-getting-audited-by-cra,posts/chances-of-getting-audited-by-cra/index.md,2023-09-13T07:19:30+00:00,https://ledgerlogic.ca/2023/09/13/chances-of-getting-audited-by-cra/,cra,
1427,How Do You Deal with a CRA Audit? Essential Strategies for a Smooth Process,publish,how-do-you-deal-with-a-cra-audit,posts/how-do-you-deal-with-a-cra-audit,posts/how-do-you-deal-with-a-cra-audit/index.md,2023-09-09T10:09:38+00:00,https://ledgerlogic.ca/2023/09/09/how-do-you-deal-with-a-cra-audit/,corporate-tax;cra,
1430,CRA Audit Penalties: The Consequences for Non-Compliance,publish,cra-audit-penalties,posts/cra-audit-penalties,posts/cra-audit-penalties/index.md,2023-09-16T13:06:12+00:00,https://ledgerlogic.ca/2023/09/16/cra-audit-penalties/,cra,
1431,How Far Back Can CRA Audit: The Limits of Tax Assessments,publish,how-far-back-can-cra-audit,posts/how-far-back-can-cra-audit,posts/how-far-back-can-cra-audit/index.md,2023-10-04T15:51:00+00:00,https://ledgerlogic.ca/2023/10/04/how-far-back-can-cra-audit/,corporate-tax;cra;personal-tax,
1434,Does CRA Audit Your Bank Account? Understanding the Process,publish,does-cra-audit-your-bank-account,posts/does-cra-audit-your-bank-account,posts/does-cra-audit-your-bank-account/index.md,2023-09-18T17:43:44+00:00,https://ledgerlogic.ca/2023/09/18/does-cra-audit-your-bank-account/,cra,
1450,Why is My Accountant Taking So Long?,publish,why-is-my-accountant-taking-so-long,posts/why-is-my-accountant-taking-so-long,posts/why-is-my-accountant-taking-so-long/index.md,2023-10-09T11:07:59+00:00,https://ledgerlogic.ca/2023/10/09/why-is-my-accountant-taking-so-long/,business-management,
1452,My Accountant Ghosted Me: Navigating Financial Abandonment in Canada,publish,my-accountant-ghosted-me,posts/my-accountant-ghosted-me,posts/my-accountant-ghosted-me/index.md,2023-10-06T13:02:11+00:00,https://ledgerlogic.ca/2023/10/06/my-accountant-ghosted-me/,business-management,
1795,The Federal Small Business Tax Rate in Canada,publish,small-business-tax-rate-canada,posts/small-business-tax-rate-canada,posts/small-business-tax-rate-canada/index.md,2023-09-03T19:51:34+00:00,https://ledgerlogic.ca/2023/09/03/small-business-tax-rate-canada/,corporate-tax,
1796,GST/HST Rates in Canada and Provincial Sales Tax Rates,publish,current-gst-hst-rate-canada-and-by-provinces,posts/current-gst-hst-rate-canada-and-by-provinces,posts/current-gst-hst-rate-canada-and-by-provinces/index.md,2023-08-28T07:48:23+00:00,https://ledgerlogic.ca/2023/08/28/current-gst-hst-rate-canada-and-by-provinces/,sales-tax,
1800,Corporation Tax Filing Requirements in Canada: A Concise Overview,publish,corporate-tax-filing-requirements-in-canada,posts/corporate-tax-filing-requirements-in-canada,posts/corporate-tax-filing-requirements-in-canada/index.md,2023-09-01T16:01:02+00:00,https://ledgerlogic.ca/2023/09/01/corporate-tax-filing-requirements-in-canada/,corporate-tax,
1803,GST/HST Tips for Small Business Owners: Maximizing Savings and Compliance,publish,gst-hst-tips-for-small-business-owners,posts/gst-hst-tips-for-small-business-owners,posts/gst-hst-tips-for-small-business-owners/index.md,2023-08-25T13:02:41+00:00,https://ledgerlogic.ca/2023/08/25/gst-hst-tips-for-small-business-owners/,sales-tax,
